Yas_Grubu,Platform,Gunluk_Ortalama_Saat,Haftalik_Ortalama_Saat,Oyuncu_Orani_Yuzde,Ortalama_Aylik_Harcama_TL
15-18,Mobil,2.5,17.5,92,150
15-18,PC,1.8,12.6,45,450
15-18,Konsol,1.2,8.4,25,600
19-24,Mobil,3.2,22.4,88,250
19-24,PC,2.5,17.5,52,800
19-24,Konsol,1.5,10.5,30,1200
25-34,Mobil,2.8,19.6,85,400
25-34,PC,2.0,14.0,40,1000
25-34,Konsol,1.1,7.7,22,1500
35-44,Mobil,1.5,10.5,70,300
35-44,PC,0.8,5.6,25,600
35-44,Konsol,0.5,3.5,12,800
45+,Mobil,1.1,7.7,60,100
45+,PC,0.4,2.8,15,200
45+,Konsol,0.2,1.4,5,300
